,Layer,Rule,Category,Description,Value
83,M1,M1.S.9,Spacing,Space to neighboring VIA1 (specific conditions),>= 0.15
84,M1,M1.S.8.1,Spacing,"Space to VIA1 [different net, either VIA1 or M1 connects to >= 1.5V and < 1.8V net]",0.08
85,M1,M1.EN.1,Enclosure,Enclosure of CO,>= 0.00
86,M1,M1.EN.2__M1.EN.3__M1.EN.3.1__M1.EN.3.2,Enclosure,Enclosure of CO (specific conditions),">= ^M1_EN_2, >= ^M1_EN_3, >= ^M1_EN_3_1, >= ^M1_EN_3_2"
87,M1,M1.EN.4,Enclosure,Enclosure of CO [M1 width > 0.7 um] (except CSRDMY region),>= 0.03
88,M1,M1.EN.5,Enclosure,"Enclosure of CO [metal width >= 0.11um, space < 0.08 um and parallel run length > 0.27 um]",>= 0.015
89,M1,M1.A.1,Area,Area (Except SRAM region),>= 0.0215
90,M1,M1.A.2,Area,Area [with all of edge length < 0.17 um] (Except SRAM region),>= 0.055
91,M1,M1.A.3,Area,Enclosed area,>= 0.2
92,M1,M1.DN.6,Restrictions,Metal Density,>= ^M1_DN_6
93,M1,M1.R.2,Restrictions,Metal(pin) layers must be drawn only interact with one relative Metal(drawing) layers,N/A
94,M1,M1.W.4,Width,Width of M1 metal line in outer seal ring,== ^M1_W_4
95,M1,M1.W.5,Width,Width of M1 metal line in inner seal ring,== ^M1_W_5
96,M1,M1.W.6,Width,Width of M1 metal line in SLDB,== ^M1_W_6
