name      ,cb1                           ,cb2                           ,cb3                           ,cb4                           ,cb5                           ,cb6                           ,cb7                           ,cb8                           ,cb9                           ,cb10                          ,cb11                          ,cb12                          ,
DFCRB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
DFCRB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
DFCRN1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFCRN2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFCRQ1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_Q: LOGIC2_NOR2            ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFCRQ2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_Q: LOGIC2_NOR2            ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNFB1    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNFB2    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNRB1    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNRB2    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNRN1    ,clk: CLK1                     ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNRN2    ,clk: CLK1                     ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNRQ1    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFNRQ2    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFPFB1    ,clk: CLK1                     ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,
DFPFB2    ,clk: CLK1                     ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,
DFPRB1    ,clk: CLK1                     ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,
DFPRB2    ,clk: CLK1                     ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,
DFPRQ1    ,clk: CLK1                     ,out_Q: LOGIC2_NAND2           ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFPRQ2    ,clk: CLK1                     ,out_Q: LOGIC2_NAND2           ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
SDBFB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,
SDBFB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,
SDBRB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,
SDBRB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,
SDBRQ1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: LOGIC3_1               ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,
SDBRQ2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: LOGIC3_1               ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,
SDCFB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,
SDCFB2    ,clk: CLK1                     ,ininv_SE_0: INV               ,ininv_RN_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,
SDCFQ1    ,clk: CLK1                     ,ininv_SE_0: INV               ,ininv_RN_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,
SDCFQ2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,
SDCRB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,
SDCRB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,
SDCRN1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
SDCRN2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
SDCRQ1    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: LOGIC2_NOR2            ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
SDCRQ2    ,clk: CLK1                     ,ininv_RN_0: INV               ,ininv_SE_0: INV               ,out_Q: LOGIC2_NOR2            ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
SDNFB1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,
SDNFB2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,
SDNRB1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,
SDNRB2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,
SDNRN1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,
SDNRN2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,
SDNRQ1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: INV                    ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,
SDNRQ2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: INV                    ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: INV               ,cross2: FCROSS_4              ,backtrack2: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,
SDPFB1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,
SDPFB2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,
SDPRB1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,
SDPRB2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,out_QN: INV                   ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,
SDPRQ1    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: LOGIC2_NAND2           ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,
SDPRQ2    ,clk: CLK1                     ,ininv_SE_0: INV               ,out_Q: LOGIC2_NAND2           ,sesi: FCROSS_3_2              ,cross1: PCROSS_1              ,backtrack1: LOGIC2_NAND2      ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NAND2      ,NA                            ,NA                            ,NA                            ,NA                            ,
LABHB1    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_5              ,backtrack1: BACKTRACK3_3_5    ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LABHB2    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_5              ,backtrack1: BACKTRACK3_3_5    ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LABLB1    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_5              ,backtrack1: BACKTRACK3_3_5    ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LABLB2    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_5              ,backtrack1: BACKTRACK3_3_5    ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACHB1    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACHB2    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACHQ1    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACHQ2    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACLB1    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACLB2    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACLQ1    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LACLQ2    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FRCROSS_1_5           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHB1    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHB2    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHN1    ,clk: CLK1                     ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHN2    ,clk: CLK1                     ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHQ1    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHQ2    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHT1    ,clk: CLK1                     ,ininv_E_0: INV                ,out_Q: LOGIC3_2               ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANHT2    ,clk: CLK1                     ,ininv_E_0: INV                ,out_Q: LOGIC3_2               ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANLB1    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANLB2    ,clk: CLK1                     ,out_QN: INV                   ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANLN1    ,clk: CLK1                     ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANLN2    ,clk: CLK1                     ,out_QN: INV                   ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANLQ1    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LANLQ2    ,clk: CLK1                     ,out_Q: INV                    ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LAPHB1    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FSCROSS_1_4           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LAPHB2    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FSCROSS_1_4           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LAPLB1    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FSCROSS_1_4           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
LAPLB2    ,clk: CLK1                     ,ininv_SN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,cross1: FSCROSS_1_4           ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
TLATNCAD1 ,clk: CLK1                     ,out_ECK: LOGIC2_NOR2          ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
TLATNCAD2 ,clk: CLK1                     ,out_ECK: LOGIC2_NOR2          ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
TLATNCAD4 ,clk: CLK1                     ,out_ECK: LOGIC2_NOR2          ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
TLATNTSCAD1,clk: CLK1                     ,out_ECK: LOGIC2_NOR2          ,inputs: LOGIC2_OR2            ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
TLATNTSCAD2,clk: CLK1                     ,out_ECK: LOGIC2_NOR2          ,inputs: LOGIC2_OR2            ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
TLATNTSCAD4,clk: CLK1                     ,out_ECK: LOGIC2_NOR2          ,inputs: LOGIC2_OR2            ,cross1: FCROSS_4              ,backtrack1: INV               ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
