,Layer,Rule,Category,Description,Value
30,AA,OD.S.3,Spacing,"Space of two ODs (width (W)  >  0.15 m) ,  if the parallel length (L)  >=  0.2 m  >=  0.13",>= 0.13
31,AA,OD.S.3.1,Spacing,"Space to OD (width (W)  >  0.15 m) ,  if the parallel length (L)  >=  0.2 m  >=  0.125",>= 0.125
32,AA,OD.S.4,Spacing,Space to 45-degree bent OD  >=  0.18,>= 0.18
33,AA,OD.S.5,Spacing,Space between two segments of a U-shape or an O-shape OD (notch only)  >=  0.18,>= 0.18
34,AA,OD.A.1,Area,Area  >=  0.054,>= 0.054
35,AA,OD.A.2,Area,Enclosed area  >=  0.085,>= 0.085
36,AA,OD.L.1,Length,Maximum length of {ACTIVE (source) [width  <  0.15 m] interacts with butted_STRAP}  <=  0.5,<= 0.5
37,AA,OD.L.2,Length,Maximum OD length [OD width is  <  0.15 m] between two contacts as well as between one contact and the OD line end  <=  25,<= 25
38,AA,OD.R.1,Restrictions,OD must be fully covered by {NP OR PP} except for {DOD OR NWDMY},N/A
39,AA,OD.S.1.SRM_SRAMDMY,Spacing,Spacing between OD along the boundary of SRM and SRAMDMY,N/A
40,CT,CO.W.1,Width,Width (maximum = minimum except for seal-ring and fuse protection ring) = 0.09 um,= 0.09 um
41,CT,CO.R.3,Restrictions,45-degree rotated CO is not allowed,
42,CT,CO.W.2,Width,CO bar width = 0.09 um (CO bar is covered by SEALRING layer and only allowed in seal-ring and fuse protecion ring),= 0.09 um
43,CT,CO.S.1,Spacing,Space >= 0.11,>= 0.11
44,CT,CO.S.2,Spacing,Space to 3-neighboring CO (< 0.15 um distance) >= 0.14,>= 0.14
45,CT,CO.S.2.1,Spacing,Space to neighboring CO [different net and common parallel run length > 0] >= 0.14,>= 0.14
46,CT,CO.S.2.2,Spacing,Space to neighboring CO [different net] >= 0.12,>= 0.12
47,CT,CO.S.3,Spacing,Space to GATE (Overlap of GATE is not allowed) >= 0.055,>= 0.055
48,CT,CO.S.4,Spacing,{CO inside PO} space to OD >= 0.07,>= 0.07
49,CT,CO.S.5,Spacing,{CO inside OD} space to 1.8V or 2.5V or 3.3V GATE >= 0.09,>= 0.09
50,CT,CO.S.6,Spacing,Space to butted PP/NP edge on OD (overlap of NP/PP boundary on OD is not allowed.) >= 0.06,>= 0.06
51,CT,CO.EN.1,Enclosure,Enclosure by OD >= 0.015 um,>= 0.015 um
52,CT,CO.EN.1.1,Enclosure,Enclosure by OD [at least two opposite side] >= 0.03 um,>= 0.03 um
53,CT,CO.EN.2,Enclosure,Enclosure by PO >= 0.01,>= 0.01
54,CT,CO.S.1.SRM_SRAMDMY,Spacing,Spacing between CO along the boundary of SRM and SRAMDMY,
55,M1,M1.W.1,Width,Width  >= 0.09,>= 0.09
56,M1,M1.W.2,Width,"Width of 45-degree bent M1 Please make sure the vertex of 45 degree pattern is on 5nm grid (refer to the guideline ,  G.6gU ,  in section 3.7)  >=  0.19",>= 0.19
57,M1,M1.W.3,Width,Maximum width  <=  12.00,<= 12.00
58,M1,M1.S.1,Spacing,Space  >=  0.09,>= 0.09
59,M1,M1.S.2,Spacing,Space [at least one metal line width  >  0.2 um  and the parallel metal run length  >  0.38 um ] (union projection)  >=  0.11,>= 0.11
60,M1,M1.S.2.1,Spacing,Space [at least one metal line width  >  0.42 um  and the parallel metal run length  >  0.42 um ] (union projection)  >=  0.16,>= 0.16
61,M1,M1.S.3,Spacing,Space [at least one metal line width  >  1.5 um  and the parallel metal run length  >  1.5 um ] (union projection)  >=  0.5,>= 0.5
62,M1,M1.S.4,Spacing,Space [at least one metal line width  >  4.5 um  and the parallel metal run length  >  4.5 um ] (union projection)  >=  1.5,>= 1.5
63,M1,M1.S.5,Spacing,"Space at M1 line-end (W < Q = 0.110) in a dense-line-end configuration: If M1 has parallel run length with opposite M1 (measured with T = 0.035 extension) along 2 adjacent edges of M1 [any one edge  < Q distance from the corner of the two edges] ,  then one of the space (S1 or S2) needs to be at least this value (except for small jog with edge length  <  0.09 um (R))  >=  0.11",>= 0.11
64,M1,M1.S.6,Spacing,Space to 45-degree bent M1  >=  0.19,>= 0.19
65,M1,M1.EN.1,Enclosure,Enclosure of CO  >=  0.00,>= 0.00
66,M1,M1.EN.2_M1.EN.3,Enclosure,"Enclosure of CO [at least two opposite sides]  >=  ^M1_EN_2 ,  or [all sides]  >=  0.025",>= 0.025
67,M1,M1.EN.4,Enclosure,Enclosure of CO [M1 width  >  1um]  >=  0.04,>= 0.04
68,M1,M1.A.1,Area,Area  >=  0.042 um2,>= 0.042 um2
69,M1,M1.A.2,Area,Enclosed area  >=   0.2 um2,>= 0.2 um2
70,M1,M1.S.1.SRM_SRAMDMY,Spacing,Spacing between M1 along the boundary of SRM and SRAMDMY,
