,Layer,Rule,Category,Description,Value
50,AA,TO.c.guid,Spacing,Recommended Min .TO space is 0.26 um to reduce short possibility caseed by particle,>= 0.26 um
51,CT,W1.a.1,Width,Min. & Max. Contact size must be == 0.14 um,== 0.14 um
52,CT,W1.a.2,Width,"Min. & Max. Contact width of W1 bar must be == ^W1_a2, W1 bar is only allowed in seal ring",== ^W1_a2
53,CT,W1.b,Spacing,Min W1 space must be >= 0.165 um,>= 0.165 um
54,CT,W1.b1,Spacing,Min W1 space in W1 array must be >= 0.18 um. (W1 number >= 4.0 x 4.0 (row and column >= w1_b1_num) with space <= 0.21 um),>= 0.18 um
55,CT,W1.c.1,Enclosure,Min clearance from W1 on TO region to a GT of 1.5V devices must be >= 0.095 um,>= 0.095 um
56,CT,W1.c.2,Enclosure,Min clearance from W1 on TO region to a GT of 3.3V devices must be >= 0.115 um,>= 0.115 um
57,CT,W1.c.3,Enclosure,Min clearance from W1 on TO region to a GT of 5V/Quasi_HV devices must be >= 0.13 um,>= 0.13 um
58,CT,W1.d,Enclosure,Min clearance from W1 on GT to TO must be >= 0.125 um,>= 0.125 um
59,CT,W1.e,Extension,Min extension of TO beyond TO W1 must be >= 0.06 um,>= 0.06 um
60,CT,W1.f,Extension,Min extension of GT beyond a poly W1 must be >= 0.06 um,>= 0.06 um
61,CT,W1.g.1,Extension,Min extension of butted SP region beyond an TO W1 region must be >= 0.08 um,>= 0.08 um
62,CT,W1.g.2,Extension,Min extension of butted SP region beyond an TO W1 region must be >= 0.08 um,>= 0.08 um
63,CT,W1.h.1,Extension,W1.g.1: Min extension of butted SN region beyond an TO W1 region must be >= 0.08 um,>= 0.08 um
64,CT,W1.h.2,Extension,W1.g.2: Min extension of butted SN region beyond an TO W1 region must be >= 0.08 um,>= 0.08 um
65,CT,W1.j,Restrictions,W1 on Gate poly over TO is not allowed.,Not allowed
66,CT,W1.k,Restrictions,W1 without the cover of (GATE or TO) is not allowed,Not allowed
67,CT,W1.note,Restrictions,W1 on the body of any resistor is not allowed.,Not allowed
68,CT,W1.e.guid,Extension,Recommended Min extension of TO beyond TO W1 to avoid high Rc is 0.12 um,>= 0.12 um
69,CT,W1.f.guid,Extension,Recommended Min extension of GT beyond a Poly W1 to avoid high Rc is W1_f_guid um.,>= W1_f_guid um
70,M1,A1.a,Width,Min width of A1 region must be  >=  0.14 um,>= 0.14 um
71,M1,A1.a1,Width,Min width of 45 degree bent metal must be  >=  0.18 um if the bent metal length is  >=  0.45 um,>= 0.18 um
72,M1,A1.b,Spacing,Min space of A1 region must be  >=  0.165 um,>= 0.165 um
73,M1,A1.c,Extension,Min extension of A1 beyond W1 region must be  >=  0.0 um,>= 0.0 um
74,M1,A1.c1,Extension,Min extension of A1 end-of-line beyond W1 region must be  >=  0.045 um,>= 0.045 um
75,M1,A1.d12,Spacing,Min space between metal lines must be  >=  0.45 um with one or both metal line width and length  >= 10um;   Min space between metal line and a small piece of metal( < 10um) must be  >=  0.45 um   that is connected to the wide metal within 1.0 range from the wide metal,>= 0.45 um
76,M1,A1.e,Spacing,Min space between two metal line must be  >=  0.2 um with at least one metal line width is >= 0.27um and the parallel run length is  >= 1.0um,>= 0.2 um
77,M1,A1.f,Spacing,Min space between 45 degree bent metal must be  >=  0.195 um (the bent metal length is  >= 0.45um),>= 0.195 um
78,M1,A1.h,Area,Min area A1 must be  >=  0.1 um2.,>= 0.1 um^2
79,M1,A1.i,Enclosure,Min enclosed area must be  >=  0.162 um2.,>= 0.162 um^2
80,M1,A1.c1.guid,Extension,Recommended Min extension of A1 end-of-line beyond W1 region is 0.08 um to avoid high Rc,0.08 um
81,M1,A1.c1.guid2,Extension,Recommended Min extension of A1 (width  > 0.6um) beyond W1 region is 0.08 um to avoid high Rc,0.08 um
82,M1,A1.g.guid,Spacing,"Recommended Min space between non-A1 regions is 0.35 um(one of non-A1 regions > 4 , 000 , 000um2).   non-A1 region is (not(A1 or A1 dummy))",0.35 um
