,Layer,Rule,Category,Description,Value
57,M1,M1_4,Area,M1 minimum area (The INST connected area apply SRAM design rule) is 0.0196,>=0.0196
58,M1,M1_5,Enclosure,M1 minimum enclosed area is 0.2,>=0.2
59,M1,M1_6,Spacing,Minimum space between two length  >  0.3 parallel metal lines   with both metal line width is  >  0.22 is 0.08,>=0.08
60,M1,M1_6a,Spacing,Minimum space between two length  >  0.6 parallel metal lines   with one or both metal line width is  >  0.7 is 0.12,>=0.12
61,M1,M1_6b,Spacing,Minimum space between two length  >  0.6 parallel metal lines with one metal   line width is  >  0.22 and other metal line width is  > 0.7um is 0.14,>=0.14
62,M1,M1_6c,Spacing,Minimum space between two length  >  1.5 parallel metal lines with   one or both metal line width is  > 1.5um is 0.3,>=0.3
63,M1,M1_7,Enclosure,CT enclosed by is 0.00 M1,==0.00
64,M1,M1_7bc_AA,Enclosure,per (AA NOT GT) and M1 intersection containing a CT must meet rule M1.7b or M1.7c   M1 minimum overlap past CT for two opposite sides with the other two sides  >= 0um is 0.025   Or all 4 sides with enlcosure of 0.015 is also correct.,>=0.025
65,M1,M1_7bc_GT,Enclosure,per Poly and M1 intersection containing a CT must meet rule M1.7b or M1.7c   M1 minimum overlap past CT for two opposite sides with the other two sides  >= 0um is 0.025   Or all 4 sides with enlcosure of 0.015 is also correct.,>=0.025
66,M1,M1_7e,Enclosure,CT minimum enclosure by M1 (M1 width  >  0.7um) is 0.03um.,>=0.03
67,M1,M1_9,Width,(M1 at 45degree ) minimum width (run length > 0um) is 0.17,>=0.17
68,M1,M1_10,Spacing,(M1 at 45degree) minimum space to parallel M1 (run length > 0um) is 0.17,>=0.17
69,M1,M1.11a,Spacing,Minimum space between an M1 line end to an M1 line (the parallel run length  > 0um) is 0.07,>=0.07
70,M1,M1.11b,Spacing,"Minimum space between an M1 line end (with (CT or V1)) to an M1 (the parallel run length  > 0um) is 0.07 ,  when this M1 line end extend Q from (CT or V1) , 0.03  <=  Q  < 0.05um",>=0.07
71,M1,M1_13,Spacing,"Minimum space CT to M1 is 0.085 ,  when the M1 and adjacent M1 meet the following conditions:   1.	M1(enclosed CT) width  > 0.12um   2.	M1(enclosed CT) to adjacent M1 space  <= 0.08um   3.	The projected parallel run length R of M1[A] to M1[B]. R  >=  0.27um   Waive if there is redundant CT in the same {(M1[A] and AA intersection) or (M1[A] and GT intersection) }",>=0.085
